Date,Requests
1998-1,137317594
1998-2,133211380
1998-3,149453070
1998-4,148053372
1998-5,153271739
1998-6,150330487
1998-7,157781352
1998-8,158981611
1998-9,150788292
1998-10,161275946
1998-11,155884324
1998-12,179794641
1999-1,147339852
1999-2,145019699
1999-3,165551584
1999-4,163238902
1999-5,171570601
1999-6,176824096
1999-7,182225486
1999-8,193677643
1999-9,184890144
1999-10,198365211
1999-11,191209750
1999-12,218975865
2000-1,176856723
2000-2,187205387
2000-3,204326931
2000-4,197725932
2000-5,213467515
2000-6,210704116
2000-7,208814407
2000-8,217338682
2000-9,207674010
2000-10,216560107
2000-11,215608691
2000-12,242518181
2001-1,207659093
2001-2,194306100
2001-3,224851914
2001-4,212004224
2001-5,232380882
2001-6,228047410
2001-7,228544600
2001-8,234558786
2001-9,199847015
2001-10,216680040
2001-11,227075972
2001-12,254126354
2002-1,217362305
2002-2,207266547
2002-3,232406304
2002-4,231598047
2002-5,243217604
2002-6,235380734
2002-7,244012550
2002-8,238105155
2002-9,232666243
2002-10,250013754
2002-11,246799486
2002-12,279307089
2003-1,238831459
2003-2,225091957
2003-3,253207274
2003-4,246008435
2003-5,266865270
2003-6,262105279
2003-7,268093842
2003-8,269311805
2003-9,260243113
2003-10,277308038
2003-11,269385243
2003-12,309017394
2004-1,263045887
2004-2,268190499
2004-3,287761244
2004-4,282487930
2004-5,294633040
2004-6,293266968
2004-7,297851051
2004-8,298821890
2004-9,288294070
2004-10,304398404
2004-11,303804419
2004-12,347248967
2005-1,293121238
2005-2,282368747
2005-3,321075144
2005-4,317356638
2005-5,330657846
2005-6,331093698
2005-7,331929917
2005-8,342589646
2005-9,328306583
2005-10,340938044
2005-11,342880270
2005-12,386319297
2006-1,330695637
2006-2,313150556
2006-3,357742686
2006-4,348531256
2006-5,370762533
2006-6,365933756
2006-7,365791808
2006-8,377163525
2006-9,361013149
2006-10,381852481
2006-11,378830608
2006-12,424703144
2007-1,366218653
2007-2,345142965
2007-3,396593526
2007-4,382764838
2007-5,412962739
2007-6,405356420
2007-7,410543334
2007-8,421021023
2007-9,398223014
2007-10,425747882
2007-11,423462503
2007-12,465319035
2008-1,401759634
2008-2,364178174
2008-3,409589072
2008-4,411356697
2008-5,398281658
2008-6,418319708
2008-7,427457250
2008-8,425923560
2008-9,423969674
2008-10,436424496
2008-11,418356510
2008-12,465783278
2009-1,375387608
2009-2,373677178
2009-3,419541927
2009-4,416132215
2009-5,433461671
2009-6,430684788
2009-7,439147755
2009-8,436956269
2009-9,422302434
2009-10,443754164
2009-11,356646499
2009-12,490041635
2010-1,383759477
2010-2,325150150
2010-3,340735096
2010-4,451750769
2010-5,472095841
2010-6,469792394
2010-7,479659854
2010-8,482942917
2010-9,469005822
2010-10,495019049
2010-11,465281567
2010-12,531180313
2011-1,473970646
2011-2,448884297
2011-3,494052917
2011-4,505997250
2011-5,516533662
2011-6,508368778
2011-7,530933828
2011-8,534270222
2011-9,516694337
2011-10,517851085
2011-11,539343423
2011-12,594196077
2012-1,515147866
2012-2,432128973
2012-3,500861590
2012-4,537656441
2012-5,569557488
2012-6,558699953
2012-7,562809141
2012-8,573259799
2012-9,547247651
2012-10,575856113
2012-11,578362482
2012-12,622887162
2013-1,555908401
2013-2,521307388
2013-3,585188883
2013-4,578868082
2013-5,610604437
2013-6,594427842
2013-7,606917058
2013-8,614176245
2013-9,587940055
2013-10,621413655
2013-11,614571402
2013-12,670822224
2014-1,591831498
2014-2,555625588
2014-3,632457827
2014-4,621908373
2014-5,655042804
2014-6,640174299
2014-7,652369581
2014-8,659891381
2014-9,640821924
2014-10,673482961
2014-11,664210069
2014-12,729341188
2015-1,642349544
2015-2,600791593
2015-3,676741732
2015-4,667388171
2015-5,697729874
2015-6,689745068
2015-7,706532899
2015-8,705389917
2015-9,687697347
2015-10,659993840
2015-11,720272108
2015-12,780851382
2016-1,691421018
2016-2,675457425
2016-3,730820830
2016-4,716571951
2016-5,705796376
2016-6,709485658
2016-7,662939157
2016-8,663466355
2016-9,646785002
2016-10,666421177
2016-11,669172024
2016-12,688571945
2017-1,636723897
2017-2,611262616
2017-3,597520784
2017-4,665218174
2017-5,703098469
2017-6,693552699
2017-7,699180962
2017-8,708718723
2017-9,686939308
2017-10,721874264
2017-11,728094596
2017-12,762851219
2018-1,701676279
2018-2,674027650
2018-3,758219563
2018-4,729014682
2018-5,771300508
2018-6,753250664
2018-7,749102384
2018-8,779623151
